year_month,distinct_askers
2020-01,99609
2020-02,99328
2020-03,106631
2020-04,121775
2020-05,122999
2020-06,114336
2020-07,110207
2020-08,100490
2020-09,97148
2020-10,97353
2020-11,93520
2020-12,93053
2021-01,96689
2021-02,92690
2021-03,102728
2021-04,95440
2021-05,93745
2021-06,90649
2021-07,87136
2021-08,85886
2021-09,85115
2021-10,84444
2021-11,85260
2021-12,80971
2022-01,85489
2022-02,82555
2022-03,89140
2022-04,83337
2022-05,84165
2022-06,80993
2022-07,80205
2022-08,81297
2022-09,75885
2022-10,78245
2022-11,81602
2022-12,72712
2023-01,73343
2023-02,66775
2023-03,67728
2023-04,54493
2023-05,53093
2023-06,51231
2023-07,50253
2023-08,48329
2023-09,42936
2023-10,42892
2023-11,41344
2023-12,35423
2024-01,39283
2024-02,38119
2024-03,37228
2024-04,35344
2024-05,33665
2024-06,27208
2024-07,26577
2024-08,23684
2024-09,21225
2024-10,19869
2024-11,17881
2024-12,15516
2025-01,15830
2025-02,13405
2025-03,13053
2025-04,10709
2025-05,10007
2025-06,8003
2025-07,6734
2025-08,5115
2025-09,5438
2025-10,4759
2025-11,3838
2025-12,3011
2026-01,2622
2026-02,2077
2026-03,1776
