year_month,domain,question_count,accepted_rate
2020-01,AI / ML,20646,0.48808485905260096
2020-01,Fast-Moving Web,26689,0.47236689272734084
2020-01,Legacy Stable,32485,0.46005848853316916
2020-01,Other,66844,0.43845371312309256
2020-02,AI / ML,20662,0.4780272964863034
2020-02,Fast-Moving Web,26104,0.47034937174379404
2020-02,Legacy Stable,32510,0.4540449092586896
2020-02,Other,65840,0.43544957472660994
2020-03,AI / ML,23429,0.46741218148448505
2020-03,Fast-Moving Web,28722,0.47113710744377135
2020-03,Legacy Stable,34534,0.44918051775062257
2020-03,Other,69284,0.4333179377634086
2020-04,AI / ML,28428,0.4874771352187984
2020-04,Fast-Moving Web,33767,0.47407231912814285
2020-04,Legacy Stable,39576,0.4525469981807156
2020-04,Other,81152,0.4407285094637224
2020-05,AI / ML,30103,0.479121682224363
2020-05,Fast-Moving Web,35104,0.47681175934366454
2020-05,Legacy Stable,38959,0.45080725891321644
2020-05,Other,82312,0.4460103022645544
2020-06,AI / ML,27870,0.48539648367420163
2020-06,Fast-Moving Web,32214,0.466908797417272
2020-06,Legacy Stable,35747,0.44563180127003665
2020-06,Other,76085,0.43234540316751
2020-07,AI / ML,26800,0.48518656716417913
2020-07,Fast-Moving Web,32224,0.46679493545183715
2020-07,Legacy Stable,34437,0.4534076719807184
2020-07,Other,72589,0.4405901720646379
2020-08,AI / ML,23490,0.49029374201787995
2020-08,Fast-Moving Web,29118,0.46768322000137375
2020-08,Legacy Stable,30891,0.4557314428150594
2020-08,Other,64866,0.4421268461135264
2020-09,AI / ML,22082,0.49515442441807805
2020-09,Fast-Moving Web,27177,0.4639584943150458
2020-09,Legacy Stable,29105,0.44569661570176944
2020-09,Other,63428,0.4381188118811881
2020-10,AI / ML,23139,0.4872725701197113
2020-10,Fast-Moving Web,26798,0.47093066646764686
2020-10,Legacy Stable,29214,0.4562196207297871
2020-10,Other,62674,0.44796885470849157
2020-11,AI / ML,22518,0.48827604583000267
2020-11,Fast-Moving Web,24816,0.4583333333333333
2020-11,Legacy Stable,28266,0.4581122196278214
2020-11,Other,59356,0.4500640204865557
2020-12,AI / ML,22512,0.48569651741293535
2020-12,Fast-Moving Web,25511,0.46054643095135434
2020-12,Legacy Stable,26963,0.45506805622519747
2020-12,Other,58938,0.43494859004377484
2021-01,AI / ML,23231,0.4848693556024278
2021-01,Fast-Moving Web,27096,0.4567832890463537
2021-01,Legacy Stable,27471,0.44774489461614064
2021-01,Other,62095,0.4404380384894114
2021-02,AI / ML,21808,0.48202494497432136
2021-02,Fast-Moving Web,24569,0.4549635719809516
2021-02,Legacy Stable,26254,0.4448845890150072
2021-02,Other,59071,0.4394034297709536
2021-03,AI / ML,24305,0.47516971816498665
2021-03,Fast-Moving Web,27539,0.4498347797668761
2021-03,Legacy Stable,29452,0.434130110009507
2021-03,Other,67487,0.43031991346481546
2021-04,AI / ML,22783,0.4714480094807532
2021-04,Fast-Moving Web,25553,0.4506320197237115
2021-04,Legacy Stable,27013,0.4329767149150409
2021-04,Other,60552,0.4221825868674858
2021-05,AI / ML,22517,0.47475240929075807
2021-05,Fast-Moving Web,25811,0.45558095385688274
2021-05,Legacy Stable,26599,0.42693334335877287
2021-05,Other,58905,0.4198794669382905
2021-06,AI / ML,20992,0.46693978658536583
2021-06,Fast-Moving Web,24612,0.43909475052819763
2021-06,Legacy Stable,25776,0.42481378026070765
2021-06,Other,57638,0.4192720080502446
2021-07,AI / ML,20705,0.47157691378893984
2021-07,Fast-Moving Web,24348,0.44808608509939213
2021-07,Legacy Stable,23844,0.42979365878208353
2021-07,Other,55120,0.41491291727140783
2021-08,AI / ML,19961,0.4777816742648164
2021-08,Fast-Moving Web,24165,0.4468032278088144
2021-08,Legacy Stable,23131,0.4302451255890364
2021-08,Other,54860,0.4163689391177543
2021-09,AI / ML,19045,0.46778682068784455
2021-09,Fast-Moving Web,23749,0.44953471725125266
2021-09,Legacy Stable,23180,0.4156600517687662
2021-09,Other,53829,0.40957476453212954
2021-10,AI / ML,19972,0.46550170238333666
2021-10,Fast-Moving Web,22758,0.4405483785921434
2021-10,Legacy Stable,23283,0.41863161963664475
2021-10,Other,52912,0.418732990625945
2021-11,AI / ML,20145,0.46344005956813106
2021-11,Fast-Moving Web,22140,0.42055103884372175
2021-11,Legacy Stable,24260,0.41578730420445176
2021-11,Other,52625,0.4124655581947744
2021-12,AI / ML,18978,0.45010011592370114
2021-12,Fast-Moving Web,21621,0.42171962443920263
2021-12,Legacy Stable,22288,0.4129127781765973
2021-12,Other,49307,0.4079542458474456
2022-01,AI / ML,19792,0.46230800323362975
2022-01,Fast-Moving Web,23227,0.4267016833857149
2022-01,Legacy Stable,22822,0.4138550521426694
2022-01,Other,53513,0.41201203445891654
2022-02,AI / ML,19376,0.4478736581337737
2022-02,Fast-Moving Web,21457,0.41510928834413013
2022-02,Legacy Stable,21574,0.3969593028645592
2022-02,Other,51623,0.4016814210720028
2022-03,AI / ML,20936,0.44210928544134503
2022-03,Fast-Moving Web,23012,0.4048757170172084
2022-03,Legacy Stable,23809,0.39514469318325
2022-03,Other,55738,0.39106175320248304
2022-04,AI / ML,19905,0.43315749811605125
2022-04,Fast-Moving Web,21897,0.41343563045166004
2022-04,Legacy Stable,22312,0.3946306920043026
2022-04,Other,50146,0.3920352570494157
2022-05,AI / ML,19598,0.43177875293397283
2022-05,Fast-Moving Web,22100,0.40316742081447965
2022-05,Legacy Stable,23142,0.3868723532970357
2022-05,Other,51384,0.384049509574965
2022-06,AI / ML,19000,0.43026315789473685
2022-06,Fast-Moving Web,21167,0.40374167335947464
2022-06,Legacy Stable,21408,0.38574364723467863
2022-06,Other,49959,0.39023999679737387
2022-07,AI / ML,19132,0.4360234162659419
2022-07,Fast-Moving Web,21524,0.41191228396208884
2022-07,Legacy Stable,20650,0.3945278450363196
2022-07,Other,49626,0.3947325998468545
2022-08,AI / ML,18876,0.44432083068446704
2022-08,Fast-Moving Web,21794,0.41887675507020283
2022-08,Legacy Stable,21002,0.38796305113798685
2022-08,Other,51279,0.3960295637590437
2022-09,AI / ML,17200,0.4450581395348837
2022-09,Fast-Moving Web,19764,0.41742562234365516
2022-09,Legacy Stable,19599,0.3904280830654625
2022-09,Other,47282,0.3976143141153082
2022-10,AI / ML,18628,0.44282800085892204
2022-10,Fast-Moving Web,19626,0.40808111688576376
2022-10,Legacy Stable,20146,0.3938747145835402
2022-10,Other,47823,0.3903142839219622
2022-11,AI / ML,19064,0.41266261015526645
2022-11,Fast-Moving Web,19995,0.405951487871968
2022-11,Legacy Stable,20828,0.38501056270405226
2022-11,Other,49692,0.38384448200917654
2022-12,AI / ML,16177,0.4188044754898931
2022-12,Fast-Moving Web,18176,0.38990977112676056
2022-12,Legacy Stable,18404,0.3938817648337318
2022-12,Other,43866,0.3817991154880773
2023-01,AI / ML,15274,0.41901270132250884
2023-01,Fast-Moving Web,17894,0.38828657650609144
2023-01,Legacy Stable,18137,0.3868886805976733
2023-01,Other,45715,0.38619709067045827
2023-02,AI / ML,13315,0.41509575666541493
2023-02,Fast-Moving Web,15670,0.3899808551372049
2023-02,Legacy Stable,16001,0.3817261421161177
2023-02,Other,40882,0.37040751430947605
2023-03,AI / ML,13082,0.4119400703256383
2023-03,Fast-Moving Web,15576,0.3787878787878788
2023-03,Legacy Stable,16854,0.3792571496380681
2023-03,Other,41857,0.3662469837781016
2023-04,AI / ML,10325,0.3782082324455206
2023-04,Fast-Moving Web,12269,0.36327329040671613
2023-04,Legacy Stable,13038,0.37260315999386406
2023-04,Other,32999,0.36249583320706685
2023-05,AI / ML,9694,0.37744996905302247
2023-05,Fast-Moving Web,11998,0.36539423237206203
2023-05,Legacy Stable,12480,0.37235576923076924
2023-05,Other,32440,0.3592478421701603
2023-06,AI / ML,9200,0.3859782608695652
2023-06,Fast-Moving Web,11233,0.3463010771832992
2023-06,Legacy Stable,12327,0.3634298693923907
2023-06,Other,30973,0.34636618990733864
2023-07,AI / ML,9198,0.3720373994346597
2023-07,Fast-Moving Web,11465,0.35752289576973395
2023-07,Legacy Stable,11851,0.36165724411442074
2023-07,Other,30341,0.3536139217560397
2023-08,AI / ML,8418,0.36909004514136373
2023-08,Fast-Moving Web,10526,0.35683070492114766
2023-08,Legacy Stable,11199,0.37244396821144743
2023-08,Other,30047,0.3544779844909642
2023-09,AI / ML,7060,0.36883852691218133
2023-09,Fast-Moving Web,9072,0.35978835978835977
2023-09,Legacy Stable,10147,0.3728195525771164
2023-09,Other,26560,0.35399096385542167
2023-10,AI / ML,7197,0.3755731554814506
2023-10,Fast-Moving Web,8540,0.3505854800936768
2023-10,Legacy Stable,10204,0.37583300666405334
2023-10,Other,26487,0.35802469135802467
2023-11,AI / ML,6848,0.3694509345794392
2023-11,Fast-Moving Web,8153,0.3415920520053968
2023-11,Legacy Stable,9866,0.37147780255422663
2023-11,Other,25500,0.3503529411764706
2023-12,AI / ML,5666,0.34521708436286624
2023-12,Fast-Moving Web,7309,0.3533999179094267
2023-12,Legacy Stable,8337,0.36367998080844427
2023-12,Other,21104,0.3456216830932525
2024-01,AI / ML,6349,0.37045203969129
2024-01,Fast-Moving Web,8137,0.34779402728278236
2024-01,Legacy Stable,8951,0.36264104569321864
2024-01,Other,24264,0.3569073524563139
2024-02,AI / ML,6274,0.34666879183933696
2024-02,Fast-Moving Web,7556,0.34370037056643726
2024-02,Legacy Stable,8887,0.3640148531562957
2024-02,Other,23340,0.344515852613539
2024-03,AI / ML,6087,0.35978314440611137
2024-03,Fast-Moving Web,7612,0.3377561744613768
2024-03,Legacy Stable,8539,0.3573017917788968
2024-03,Other,22565,0.3489474850432085
2024-04,AI / ML,6026,0.3473282442748092
2024-04,Fast-Moving Web,6869,0.3470665307905081
2024-04,Legacy Stable,8268,0.3525641025641026
2024-04,Other,21310,0.3396058188643829
2024-05,AI / ML,5638,0.3424973394820858
2024-05,Fast-Moving Web,6514,0.3434141848326681
2024-05,Legacy Stable,7864,0.34295523906408953
2024-05,Other,20142,0.33293615331148846
2024-06,AI / ML,4271,0.34441582767501755
2024-06,Fast-Moving Web,5193,0.3506643558636626
2024-06,Legacy Stable,6121,0.34765561182813265
2024-06,Other,16429,0.3341651956905472
2024-07,AI / ML,4216,0.37073055028463
2024-07,Fast-Moving Web,5015,0.3453639082751745
2024-07,Legacy Stable,6055,0.3643270024772915
2024-07,Other,16214,0.3469224127297397
2024-08,AI / ML,3716,0.3694833153928956
2024-08,Fast-Moving Web,4438,0.34182063992789546
2024-08,Legacy Stable,5362,0.3733681462140992
2024-08,Other,14347,0.34822610998815084
2024-09,AI / ML,2979,0.3658945955018463
2024-09,Fast-Moving Web,3814,0.3398007341373886
2024-09,Legacy Stable,5012,0.36233040702314445
2024-09,Other,12988,0.3499384046812442
2024-10,AI / ML,2772,0.3398268398268398
