year_month,domain,question_count,coverage_rate
2020-01,AI / ML,20646,0.8390002906131938
2020-01,Fast-Moving Web,26689,0.8357750384053355
2020-01,Legacy Stable,32485,0.8153301523780206
2020-01,Other,66844,0.8226317994135599
2020-02,AI / ML,20662,0.8327848223792469
2020-02,Fast-Moving Web,26104,0.83776432730616
2020-02,Legacy Stable,32510,0.8132266994770839
2020-02,Other,65840,0.8197752126366951
2020-03,AI / ML,23429,0.8238507832173801
2020-03,Fast-Moving Web,28722,0.8317317735533737
2020-03,Legacy Stable,34534,0.8007760467944635
2020-03,Other,69284,0.8146613936839674
2020-04,AI / ML,28428,0.8389264105811172
2020-04,Fast-Moving Web,33767,0.8294488701987147
2020-04,Legacy Stable,39576,0.8030877299373358
2020-04,Other,81152,0.8175029574132492
2020-05,AI / ML,30103,0.8359299737567685
2020-05,Fast-Moving Web,35104,0.8383375113947129
2020-05,Legacy Stable,38959,0.800790574706743
2020-05,Other,82312,0.8192730100106911
2020-06,AI / ML,27870,0.8399354144241119
2020-06,Fast-Moving Web,32214,0.8351027503569877
2020-06,Legacy Stable,35747,0.8011581391445436
2020-06,Other,76085,0.813261483866728
2020-07,AI / ML,26800,0.8449253731343284
2020-07,Fast-Moving Web,32224,0.8333850546176763
2020-07,Legacy Stable,34437,0.8069808636060052
2020-07,Other,72589,0.8181680419898332
2020-08,AI / ML,23490,0.8514687100893997
2020-08,Fast-Moving Web,29118,0.8336767635139776
2020-08,Legacy Stable,30891,0.8094266938590527
2020-08,Other,64866,0.8212777109733913
2020-09,AI / ML,22082,0.8453038674033149
2020-09,Fast-Moving Web,27177,0.8280899289840674
2020-09,Legacy Stable,29105,0.8058065624463151
2020-09,Other,63428,0.818360976225011
2020-10,AI / ML,23139,0.8465793681662993
2020-10,Fast-Moving Web,26798,0.8385700425404881
2020-10,Legacy Stable,29214,0.8039296227835969
2020-10,Other,62674,0.820372084117816
2020-11,AI / ML,22518,0.8443023359090506
2020-11,Fast-Moving Web,24816,0.8245083816892328
2020-11,Legacy Stable,28266,0.8051722917993349
2020-11,Other,59356,0.8170530359188625
2020-12,AI / ML,22512,0.8400852878464818
2020-12,Fast-Moving Web,25511,0.8261534240131708
2020-12,Legacy Stable,26963,0.8096280087527352
2020-12,Other,58938,0.814635718891038
2021-01,AI / ML,23231,0.8399552322327923
2021-01,Fast-Moving Web,27096,0.8286462946560378
2021-01,Legacy Stable,27471,0.8032834625605184
2021-01,Other,62095,0.8166357999838957
2021-02,AI / ML,21808,0.8366654438738078
2021-02,Fast-Moving Web,24569,0.8161911351703366
2021-02,Legacy Stable,26254,0.8029252685305096
2021-02,Other,59071,0.8148668551404242
2021-03,AI / ML,24305,0.8267846122197079
2021-03,Fast-Moving Web,27539,0.8172410036675261
2021-03,Legacy Stable,29452,0.7909819367105799
2021-03,Other,67487,0.8064219775660497
2021-04,AI / ML,22783,0.824386604046877
2021-04,Fast-Moving Web,25553,0.8206472821195163
2021-04,Legacy Stable,27013,0.790989523562729
2021-04,Other,60552,0.8039371119038182
2021-05,AI / ML,22517,0.8349691344317627
2021-05,Fast-Moving Web,25811,0.8265468211227771
2021-05,Legacy Stable,26599,0.7875859994736645
2021-05,Other,58905,0.8055513114336644
2021-06,AI / ML,20992,0.8288871951219512
2021-06,Fast-Moving Web,24612,0.8135868681943768
2021-06,Legacy Stable,25776,0.7850713842333954
2021-06,Other,57638,0.8095006766369409
2021-07,AI / ML,20705,0.8279642598406182
2021-07,Fast-Moving Web,24348,0.8162477410875637
2021-07,Legacy Stable,23844,0.7878292232846837
2021-07,Other,55120,0.7997097242380261
2021-08,AI / ML,19961,0.8295676569310155
2021-08,Fast-Moving Web,24165,0.8205255534864473
2021-08,Legacy Stable,23131,0.7931779862522157
