year_month,domain,answered_count,median_seconds,p90_seconds
2020-01,AI / ML,17322,1824.2615,242172.6936
2020-01,Fast-Moving Web,22306,1752.339,233036.5205
2020-01,Legacy Stable,26486,2203.482,190148.223
2020-01,Other,54988,6497.68,762379.6459000005
2020-02,AI / ML,17207,1855.493,273667.8673999999
2020-02,Fast-Moving Web,21869,1765.297,196945.04080000022
2020-02,Legacy Stable,26438,2270.41,197748.63109999994
2020-02,Other,53974,6554.542,775026.7269000002
2020-03,AI / ML,19302,2012.595,286404.31070000003
2020-03,Fast-Moving Web,23888,1866.3685,246782.14689999982
2020-03,Legacy Stable,27654,2262.96,195202.88410000008
2020-03,Other,56442,7019.7615000000005,1022152.2197000007
2020-04,AI / ML,23849,1794.236,287908.1584000008
2020-04,Fast-Moving Web,28008,1817.795,237215.83179999987
2020-04,Legacy Stable,31782,2358.2145,204820.5280000009
2020-04,Other,66342,6597.458500000001,877196.0473000003
2020-05,AI / ML,25164,1719.8635,219344.52490000016
2020-05,Fast-Moving Web,29429,1709.65,192816.86300000007
2020-05,Legacy Stable,31197,2475.083,209936.0518000004
2020-05,Other,67436,6256.9735,815164.6265
2020-06,AI / ML,23409,1707.35,232967.30840000015
2020-06,Fast-Moving Web,26902,1686.8184999999999,186298.11410000033
2020-06,Legacy Stable,28638,2488.553,221955.82879999993
2020-06,Other,61877,6590.55,796486.6000000003
2020-07,AI / ML,22644,1791.5335,236031.73420000012
2020-07,Fast-Moving Web,26855,1763.24,228447.05120000037
2020-07,Legacy Stable,27790,2561.425,224404.47140000004
2020-07,Other,59390,6558.478,787927.1363
2020-08,AI / ML,20001,1948.327,227932.413
2020-08,Fast-Moving Web,24275,1769.14,219533.46200000105
2020-08,Legacy Stable,25004,2529.7885,211044.3061000003
2020-08,Other,53271,6835.757,763855.757
2020-09,AI / ML,18665,1866.267,232444.27780000152
2020-09,Fast-Moving Web,22505,1879.616,227129.28080000172
2020-09,Legacy Stable,23453,2527.876,193819.4075999998
2020-09,Other,51907,7244.164,832755.2792000008
2020-10,AI / ML,19589,1743.12,235073.2486000005
2020-10,Fast-Moving Web,22472,1928.08,228006.44530000022
2020-10,Legacy Stable,23486,2455.5665,191110.7585
2020-10,Other,51416,6623.3279999999995,773400.6799999999
2020-11,AI / ML,19011,1718.257,210242.43
2020-11,Fast-Moving Web,20460,1959.7415,236994.62200000082
2020-11,Legacy Stable,22759,2614.867,212855.496
2020-11,Other,48497,6569.203,785414.4988000002
2020-12,AI / ML,18912,1846.867,201182.80900000024
2020-12,Fast-Moving Web,21076,2065.0585,247881.76150000002
2020-12,Legacy Stable,21829,2512.577,221696.08800000037
2020-12,Other,48013,6685.696,837858.9888000006
