year_month,title_length_median,title_length_p90,body_prose_length_median,body_prose_length_p90,code_block_count_median,code_block_count_p90,code_block_total_length_median,code_block_total_length_p90,link_count_median,link_count_p90,tag_count_median,tag_count_p90
2020-01,57.0,90.0,450.0,1001.0,1.0,3.0,436.0,2565.100000000001,0.0,2.0,3.0,5.0
2020-02,56.0,92.0,417.0,951.5000000000001,1.0,3.0,405.5,2541.1000000000013,0.0,2.0,3.0,5.0
2020-03,55.0,89.0,430.0,932.4000000000001,1.0,4.0,440.0,2552.1,0.0,1.0,3.0,5.0
2020-04,56.0,90.10000000000002,422.0,951.0,1.0,4.0,413.0,2453.1,0.0,1.0,3.0,5.0
2020-05,55.0,88.0,420.5,996.9000000000002,1.0,4.0,483.0,2375.0,0.0,2.0,3.0,5.0
2020-06,56.5,89.0,448.5,991.3000000000001,1.0,4.0,432.0,2269.9,0.0,2.0,3.0,5.0
2020-07,56.0,87.0,432.0,1033.2000000000005,1.0,3.0,421.5,2427.3,0.0,2.0,3.0,5.0
2020-08,54.0,91.0,425.5,975.7000000000004,1.0,3.0,449.0,2317.3,0.0,1.0,3.0,5.0
2020-09,56.0,91.10000000000002,417.0,902.1,1.0,3.0,408.5,2682.3,0.0,2.0,3.0,5.0
2020-10,58.0,89.0,427.0,962.1,1.0,3.0,459.0,2252.6000000000004,0.0,2.0,3.0,5.0
2020-11,57.0,91.0,422.5,988.1,1.0,4.0,436.5,2276.1000000000004,0.0,1.0,3.0,5.0
2020-12,56.0,87.10000000000002,437.0,1008.2,1.0,3.0,441.5,2058.3000000000006,0.0,2.0,3.0,5.0
2021-01,57.0,92.10000000000002,439.0,978.1,1.0,3.0,433.0,2396.2,0.0,2.0,3.0,5.0
2021-02,56.0,90.0,456.0,1000.7000000000002,1.0,3.0,449.5,2468.7000000000003,0.0,1.0,3.0,5.0
2021-03,56.5,91.10000000000002,432.5,907.7000000000002,1.0,3.0,457.5,2401.4000000000005,0.0,1.0,3.0,5.0
2021-04,56.0,92.0,409.0,935.5000000000001,1.0,3.0,460.0,2384.1,0.0,2.0,3.0,5.0
2021-05,56.0,89.0,415.0,899.0,1.0,3.0,436.0,2390.7000000000003,0.0,1.0,3.0,5.0
2021-06,57.0,91.10000000000002,443.0,970.9000000000004,1.0,4.0,400.0,2828.1000000000004,0.0,2.0,3.0,5.0
2021-07,58.0,92.0,442.0,1050.1,1.0,4.0,462.0,2501.500000000001,0.0,1.0,3.0,5.0
2021-08,58.0,94.0,421.0,944.5000000000001,1.0,3.0,423.0,2300.9,0.0,1.0,3.0,5.0
2021-09,57.0,88.0,407.5,987.0,1.0,3.0,408.5,2472.4000000000005,0.0,1.0,3.0,5.0
2021-10,56.0,94.0,419.5,971.7000000000004,1.0,3.0,412.5,2299.4000000000005,0.0,2.0,3.0,5.0
2021-11,56.0,91.0,437.5,983.8000000000002,1.0,3.0,420.5,2317.2,0.0,2.0,3.0,5.0
2021-12,56.0,93.0,421.0,868.8000000000002,1.0,3.0,420.5,2313.2,0.0,1.0,3.0,5.0
2022-01,56.0,95.0,434.5,1008.2,1.0,3.0,403.0,2250.7000000000003,0.0,2.0,3.0,5.0
2022-02,56.0,91.0,409.5,931.6000000000001,1.0,3.0,409.0,2230.1000000000004,0.0,2.0,3.0,5.0
2022-03,57.0,93.0,434.5,986.4000000000001,1.0,3.0,414.0,2392.000000000001,0.0,1.0,3.0,5.0
2022-04,56.0,93.0,413.5,992.2,1.0,3.0,412.0,2182.7000000000003,0.0,1.0,3.0,5.0
2022-05,57.0,89.10000000000002,426.5,1003.1,1.0,3.0,465.0,2411.6000000000004,0.0,2.0,3.0,5.0
2022-06,59.0,93.0,441.5,987.0,1.0,3.0,445.5,2606.6000000000004,0.0,2.0,3.0,5.0
2022-07,58.0,91.0,416.5,945.2,1.0,3.0,422.0,2381.1,0.0,1.0,3.0,5.0
2022-08,57.0,91.0,419.0,1007.0,1.0,3.0,426.5,2439.3,0.0,2.0,3.0,5.0
2022-09,57.0,91.0,425.0,1026.1000000000004,1.0,3.0,426.0,2495.4000000000005,0.0,2.0,3.0,5.0
2022-10,57.0,93.10000000000002,433.5,971.7000000000002,1.0,4.0,456.0,2776.1000000000004,0.0,1.0,3.0,5.0
2022-11,56.0,92.0,445.5,979.6000000000001,1.0,3.1000000000000227,417.5,2973.6000000000004,0.0,2.0,3.0,5.0
2022-12,58.0,93.0,432.0,1066.3000000000002,1.0,3.0,446.0,2553.8,0.0,2.0,3.0,5.0
2023-01,58.0,98.10000000000002,490.0,1038.1,1.0,3.0,477.0,2405.7000000000003,0.0,2.0,3.0,5.0
2023-02,58.0,94.0,443.0,1021.1,1.0,3.0,425.0,2391.8,0.0,1.0,3.0,5.0
2023-03,59.0,98.10000000000002,486.0,1096.1,1.0,4.0,447.5,2555.100000000001,0.0,2.0,3.0,5.0
2023-04,59.0,98.0,499.5,1092.2,1.0,4.0,531.0,3134.100000000001,0.0,2.0,3.0,5.0
2023-05,62.0,98.10000000000002,517.5,1186.3000000000002,1.0,4.0,513.0,2886.6000000000004,0.0,2.0,3.0,5.0
2023-06,58.0,95.0,477.5,1089.3000000000002,1.0,3.0,431.5,2534.8,0.0,2.0,3.0,5.0
2023-07,61.0,96.0,507.5,1149.1,1.0,3.0,462.0,3015.4000000000015,0.0,2.0,3.0,5.0
2023-08,59.0,98.0,497.5,1207.0,1.0,4.0,529.5,2986.9,0.0,2.0,3.0,5.0
2023-09,59.0,95.0,523.5,1125.5,1.0,4.0,509.5,2861.7000000000007,0.0,2.0,3.0,5.0
2023-10,60.0,99.0,501.5,1184.0,1.0,3.0,474.5,2798.4,0.0,2.0,3.0,5.0
2023-11,60.0,95.0,516.0,1132.4,1.0,4.0,532.0,2992.8000000000006,0.0,2.0,3.0,5.0
2023-12,59.0,98.10000000000002,524.0,1164.4,1.0,4.0,523.5,3089.6000000000004,0.0,2.0,3.0,5.0
