year_month,question_count,answer_count
2020-01,146664.0,198173.0
2020-02,145116.0,192721.0
2020-03,155969.0,196965.0
2020-04,182923.0,231572.0
2020-05,186478.0,241343.0
2020-06,171916.0,223416.0
2020-07,166050.0,218338.0
2020-08,148365.0,196494.0
2020-09,141792.0,187015.0
2020-10,141825.0,188193.0
2020-11,134956.0,176933.0
2020-12,133924.0,177879.0
2021-01,139893.0,184492.0
2021-02,131702.0,170815.0
2021-03,148783.0,188863.0
2021-04,135901.0,173683.0
2021-05,133832.0,173070.0
2021-06,129018.0,166903.0
2021-07,124017.0,161036.0
2021-08,122117.0,160217.0
2021-09,119803.0,157727.0
2021-10,118925.0,154528.0
2021-11,119170.0,150698.0
2021-12,112194.0,145164.0
2022-01,119354.0,154329.0
2022-02,114030.0,144889.0
2022-03,123495.0,153647.0
2022-04,114260.0,144734.0
2022-05,116224.0,147382.0
2022-06,111534.0,143212.0
2022-07,110932.0,143587.0
2022-08,112951.0,148295.0
2022-09,103845.0,138364.0
2022-10,106223.0,137463.0
2022-11,109579.0,139357.0
2022-12,96623.0,123803.0
2023-01,97020.0,126245.0
2023-02,85868.0,110902.0
2023-03,87369.0,113493.0
2023-04,68631.0,87291.0
2023-05,66612.0,85792.0
2023-06,63733.0,80621.0
2023-07,62855.0,80506.0
2023-08,60190.0,78568.0
2023-09,52839.0,70255.0
2023-10,52428.0,70051.0
2023-11,50367.0,66571.0
2023-12,42416.0,56700.0
2024-01,47701.0,64420.0
2024-02,46057.0,61244.0
2024-03,44803.0,60493.0
2024-04,42473.0,56791.0
2024-05,40158.0,55164.0
2024-06,32014.0,45261.0
2024-07,31500.0,46035.0
2024-08,27863.0,42675.0
2024-09,24793.0,37735.0
2024-10,23221.0,36748.0
2024-11,20846.0,32943.0
2024-12,17971.0,28114.0
2025-01,18238.0,29370.0
2025-02,15565.0,25856.0
2025-03,15129.0,24698.0
2025-04,12349.0,19525.0
2025-05,11549.0,16691.0
2025-06,9197.0,13413.0
2025-07,7751.0,12570.0
2025-08,5837.0,10101.0
2025-09,6062.0,9515.0
2025-10,5320.0,8809.0
2025-11,4270.0,7562.0
2025-12,3340.0,6186.0
2026-01,2967.0,5873.0
2026-02,2315.0,4652.0
2026-03,2033.0,4075.0
