title_length,body_prose_length,code_block_count,code_block_total_length,link_count,tag_count,year_month
59,128,1,140,0,1,2020-04
26,455,4,1937,0,4,2020-04
44,1159,3,547,1,1,2020-04
49,1119,0,0,0,5,2020-04
115,786,0,0,0,4,2020-04
24,398,0,0,1,2,2020-04
43,268,1,230,0,5,2020-04
36,597,1,406,0,2,2020-04
32,85,1,171,0,4,2020-04
109,301,1,377,0,2,2020-04
50,178,3,902,0,5,2020-04
48,695,0,0,0,5,2020-04
60,305,1,1060,1,3,2020-04
16,319,1,738,0,3,2020-04
53,87,1,278,0,5,2020-04
98,821,1,127,0,2,2020-04
62,206,2,305,0,1,2020-04
53,786,2,1356,0,1,2020-04
36,410,1,274,0,1,2020-04
69,255,0,0,0,2,2020-04
77,331,0,0,0,4,2020-04
35,334,1,197,0,2,2020-04
39,229,2,73,0,3,2020-04
73,592,0,0,0,3,2020-04
62,580,1,441,0,4,2020-04
70,447,1,307,1,5,2020-04
55,413,1,10168,0,3,2020-04
46,283,1,913,1,2,2020-04
77,187,1,1519,0,4,2020-04
134,312,0,0,0,2,2020-04
20,335,3,393,0,4,2020-04
48,357,1,795,0,2,2020-04
63,416,0,0,2,3,2020-04
58,265,0,0,0,1,2020-04
28,181,0,0,0,5,2020-04
29,542,3,115,0,4,2020-04
15,1034,4,4360,0,4,2020-04
69,944,1,1287,0,5,2020-04
41,687,3,7293,1,4,2020-04
61,802,1,3446,0,4,2020-04
82,905,5,4357,1,4,2020-04
39,431,2,176,1,4,2020-04
65,608,1,3143,0,3,2020-04
66,480,3,739,1,2,2020-04
117,275,1,153,0,3,2020-04
75,476,0,0,0,2,2020-04
46,55,0,0,1,1,2020-04
49,832,1,1682,0,5,2020-04
52,1398,0,0,0,4,2020-04
21,423,0,0,3,1,2020-04
45,751,4,1299,0,4,2020-04
63,328,0,0,0,4,2020-04
24,251,1,94,0,2,2020-04
41,213,2,134,0,3,2020-04
135,581,2,306,2,5,2020-04
52,622,1,250,0,2,2020-04
58,704,4,860,0,5,2020-04
60,358,2,957,0,4,2020-04
31,429,1,56,0,3,2020-04
89,307,1,385,1,1,2020-04
32,382,1,8665,0,3,2020-04
66,397,3,939,0,2,2020-04
82,390,2,570,0,2,2020-04
52,345,0,0,2,2,2020-04
53,663,3,438,0,2,2020-04
51,294,1,1033,0,4,2020-04
41,876,1,1302,0,4,2020-04
92,440,3,81,0,3,2020-04
66,255,0,0,1,3,2020-04
39,295,1,69,0,4,2020-04
25,372,1,1224,0,2,2020-04
38,481,1,2416,0,1,2020-04
75,377,1,77,1,2,2020-04
42,1382,3,4749,1,4,2020-04
61,264,3,704,0,5,2020-04
44,480,0,0,0,5,2020-04
46,208,4,322,0,2,2020-04
55,583,3,503,2,4,2020-04
69,248,1,2087,0,1,2020-04
72,951,1,333,1,2,2020-04
63,852,1,663,0,4,2020-04
56,488,0,0,0,1,2020-04
57,309,0,0,0,2,2020-04
60,239,2,1682,0,2,2020-04
61,216,2,457,0,4,2020-04
30,471,1,342,0,3,2020-04
81,410,0,0,0,3,2020-04
42,1696,4,2812,4,4,2020-04
57,926,5,710,3,3,2020-04
59,346,2,7673,0,2,2020-04
75,1415,3,1417,1,4,2020-04
51,1239,3,4971,0,5,2020-04
53,221,1,318,0,1,2020-04
66,525,0,0,0,2,2020-04
38,445,0,0,0,2,2020-04
126,429,2,1017,0,2,2020-04
122,423,1,530,0,3,2020-04
52,334,1,482,0,1,2020-04
58,430,1,172,1,4,2020-04
107,140,3,3984,0,4,2020-04
32,291,1,42,0,1,2020-04
64,370,0,0,0,3,2020-04
19,154,2,172,0,2,2020-04
47,521,3,249,0,3,2020-04
67,198,2,202,0,3,2020-04
68,1320,0,0,0,3,2020-04
78,1215,4,13449,0,1,2020-04
42,518,1,422,2,4,2020-04
54,739,4,621,0,4,2020-04
72,427,2,714,0,2,2020-04
54,750,2,478,4,3,2020-04
52,431,3,142,0,1,2020-04
60,465,1,976,0,4,2020-04
86,288,0,0,0,1,2020-04
78,570,3,1982,0,4,2020-04
62,1934,4,317,0,4,2020-04
35,216,1,193,1,4,2020-04
60,357,2,4256,0,5,2020-04
75,217,1,639,0,1,2020-04
31,186,0,0,0,3,2020-04
38,275,1,399,0,4,2020-04
44,164,3,669,0,2,2020-04
83,440,5,2826,0,3,2020-04
74,504,1,4206,0,3,2020-04
78,691,2,628,0,5,2020-04
50,1392,2,717,0,2,2020-04
55,633,1,322,0,3,2020-04
47,689,1,474,2,4,2020-04
36,613,0,0,0,5,2020-04
50,1141,3,234,0,5,2020-04
69,618,0,0,0,5,2020-04
63,397,0,0,0,3,2020-04
74,187,2,220,0,3,2020-04
46,646,3,586,0,3,2020-04
94,376,0,0,0,4,2020-04
46,1364,1,122,2,5,2020-04
99,615,2,709,0,4,2020-04
69,565,4,3535,0,5,2020-04
82,231,1,678,0,3,2020-04
43,297,1,615,0,4,2020-04
148,302,2,159,3,4,2020-04
41,634,3,629,0,3,2020-04
18,836,0,0,0,4,2020-04
101,211,1,773,1,2,2020-04
135,674,1,672,3,4,2020-04
76,478,3,88,0,4,2020-04
20,297,1,101,0,2,2020-04
87,271,0,0,0,2,2020-04
82,315,0,0,0,3,2020-04
73,825,1,880,0,3,2020-04
53,265,1,52,1,2,2020-04
45,1003,2,841,0,5,2020-04
52,425,2,889,0,3,2020-04
45,559,1,353,0,3,2020-04
51,718,1,169,0,3,2020-04
52,385,2,654,2,3,2020-04
46,683,2,383,0,2,2020-04
75,104,1,37,0,2,2020-04
90,1606,6,628,2,5,2020-04
37,304,1,484,0,5,2020-04
55,454,1,180,0,5,2020-04
48,575,3,1236,0,5,2020-04
28,613,5,1681,2,5,2020-04
32,134,1,104,1,2,2020-04
72,965,0,0,5,5,2020-04
67,310,1,177,0,3,2020-04
26,351,0,0,0,5,2020-04
77,189,2,95,0,3,2020-04
50,185,1,391,0,4,2020-04
91,338,3,1015,1,3,2020-04
53,1184,1,327,0,1,2020-04
36,529,4,605,1,3,2020-04
66,730,1,1180,0,5,2020-04
86,693,3,3605,0,3,2020-04
49,1355,2,1330,0,2,2020-04
40,313,2,87,0,3,2020-04
55,777,2,1469,0,4,2020-04
75,226,2,959,0,2,2020-04
62,550,2,148,0,3,2020-04
33,224,2,208,0,2,2020-04
98,354,1,67,1,2,2020-04
40,612,1,110,0,4,2020-04
47,113,3,128,0,2,2020-04
39,159,1,36,0,4,2020-04
111,826,2,6615,0,5,2020-04
54,306,1,126,0,1,2020-04
66,701,2,171,0,4,2020-04
50,1814,0,0,2,3,2020-04
44,341,4,915,0,2,2020-04
32,368,1,1204,0,1,2020-04
72,229,1,459,0,5,2020-04
59,366,2,244,1,2,2020-04
47,232,0,0,0,2,2020-04
70,301,1,732,0,4,2020-04
43,421,5,2751,1,5,2020-04
46,569,0,0,1,5,2020-04
80,403,0,0,0,2,2020-04
127,512,2,910,0,2,2020-04
54,281,2,2298,1,4,2020-04
46,668,0,0,0,3,2020-04
77,246,2,598,0,1,2020-04
61,399,5,390,0,2,2020-04
50,365,1,5280,1,4,2020-04
53,439,4,926,0,4,2020-04
69,623,0,0,0,2,2020-04
48,783,3,1083,0,1,2020-04
41,192,2,343,0,3,2020-04
44,593,0,0,0,3,2020-04
45,209,2,324,0,3,2020-04
98,666,2,2453,0,5,2020-04
36,470,0,0,0,3,2020-04
39,377,1,2077,1,2,2020-04
96,336,2,696,0,1,2020-04
