year_month,intent,post_id
2020-04,API Usage,61296488
2020-04,API Usage,61369446
2020-04,Errors,61112377
2020-04,Discrepancy,61160741
2020-04,Discrepancy,60968758
2020-04,API Usage,61482651
2020-04,Discrepancy,61447867
2020-04,API Usage,61074528
2020-04,API Usage,61044065
2020-04,API Usage,61470564
2020-04,API Usage,61385340
2020-04,API Usage,61068483
2020-04,API Usage,61350535
2020-04,API Usage,61457965
2020-04,API Usage,61027051
2020-04,Errors,61429916
2020-04,API Usage,61398505
2020-04,Learning,60970836
2020-04,Errors,61031251
2020-04,API Usage,61193169
2020-04,API Usage,61157768
2020-04,API Usage,61483183
2020-04,API Usage,61512227
2020-04,API Usage,61315671
2020-04,API Usage,61034432
2020-04,Discrepancy,61213659
2020-04,Learning,61150035
2020-04,Errors,61210095
2020-04,Errors,61389597
2020-04,API Usage,61223720
2020-04,Errors,61078770
2020-04,API Usage,61250468
2020-04,API Usage,61046653
2020-04,API Usage,61444400
2020-04,API Usage,61106215
2020-04,API Usage,60973339
2020-04,Discrepancy,61078463
2020-04,Discrepancy,61186455
2020-04,API Usage,61456839
2020-04,Discrepancy,61263598
2020-04,Errors,61371729
2020-04,Errors,61173444
2020-04,Errors,61480239
2020-04,Errors,60991629
2020-04,Errors,61136703
2020-04,Conceptual,61390205
2020-04,API Usage,61519920
2020-04,Errors,61223190
2020-04,Discrepancy,61129668
2020-04,API Usage,61029929
2020-04,API Usage,61075716
2020-04,API Usage,61239914
2020-04,API Usage,61303037
2020-04,API Usage,61450986
2020-04,Errors,61045370
2020-04,Errors,61511677
2020-04,Discrepancy,61419099
2020-04,API Usage,61238216
2020-04,API Usage,61489475
2020-04,Discrepancy,61003373
2020-04,Errors,61420285
2020-04,API Usage,61175252
2020-04,API Usage,61345905
2020-04,API Usage,61527542
2020-04,API Usage,61241940
2020-04,API Usage,61133802
2020-04,Errors,61046898
2020-04,API Usage,61486942
2020-04,API Usage,61527747
2020-04,Errors,61238483
2020-04,API Usage,61324518
2020-04,Errors,61182850
2020-04,API Usage,61264347
2020-04,Errors,61144044
2020-04,API Usage,61202522
2020-04,Discrepancy,61427991
2020-04,Errors,61468330
2020-04,Conceptual,61369762
2020-04,API Usage,61057854
2020-04,Architectural Consensus,61511463
2020-04,API Usage,61313968
2020-04,API Usage,61277535
2020-04,API Usage,61433889
2020-04,Errors,61442768
2020-04,API Usage,61479234
2020-04,API Usage,61523722
2020-04,API Usage,61313174
2020-04,Errors,61178920
2020-04,API Usage,61276445
2020-04,API Usage,61410992
2020-04,Errors,60967675
2020-04,API Usage,61343935
2020-04,Errors,61362031
2020-04,API Usage,61495873
2020-04,API Usage,61386125
2020-04,API Usage,61337132
2020-04,Errors,61152446
2020-04,API Usage,61475183
2020-04,API Change,61096863
2020-04,Errors,61282698
2020-04,API Usage,61507170
2020-04,API Usage,61478792
2020-04,API Usage,61192444
2020-04,API Usage,61122958
2020-04,API Usage,61421675
2020-04,API Usage,61482908
2020-04,API Usage,61013300
2020-04,Errors,61051044
2020-04,API Usage,61333906
2020-04,Discrepancy,61093627
2020-04,Review,61033951
2020-04,Discrepancy,61518065
2020-04,API Usage,61175692
2020-04,Conceptual,61159517
2020-04,API Usage,61315756
2020-04,Conceptual,61376242
2020-04,API Usage,61477885
2020-04,Errors,61010638
2020-04,Errors,61056950
2020-04,Errors,61016367
2020-04,API Usage,61020208
2020-04,API Usage,61394522
2020-04,API Usage,61374288
2020-04,API Usage,61208331
2020-04,API Usage,61485718
2020-04,Discrepancy,61377448
2020-04,Discrepancy,61298110
2020-04,API Usage,61497273
2020-04,Errors,61310119
2020-04,Discrepancy,61351372
2020-04,Discrepancy,61278244
2020-04,API Usage,61428040
2020-04,API Usage,61419282
2020-04,API Usage,61210259
2020-04,Errors,61173532
2020-04,Learning,61417605
2020-04,API Usage,60997193
2020-04,Discrepancy,60983347
2020-04,API Usage,61257447
2020-04,Conceptual,61150115
2020-04,Errors,61139436
2020-04,Errors,61159103
2020-04,Errors,61484849
2020-04,Errors,61429064
2020-04,API Usage,61351193
2020-04,Discrepancy,61210066
2020-04,API Usage,61153900
2020-04,API Usage,61283908
2020-04,API Usage,61309393
2020-04,Discrepancy,61462639
2020-04,API Usage,61110054
2020-04,API Usage,61074421
2020-04,Errors,61379024
2020-04,Discrepancy,61404479
2020-04,Discrepancy,61374285
2020-04,API Usage,61131199
2020-04,Review,61390608
2020-04,API Usage,61008429
2020-04,API Usage,61381139
2020-04,Discrepancy,61064346
2020-04,Errors,61255785
2020-04,Errors,61071878
2020-04,API Usage,61021133
2020-04,API Usage,61402137
2020-04,API Usage,61102911
2020-04,Errors,61417462
2020-04,Discrepancy,61112763
2020-04,API Usage,61021649
2020-04,Discrepancy,61367843
2020-04,Errors,61142476
2020-04,Conceptual,61522352
2020-04,Learning,60991499
2020-04,Errors,61153950
2020-04,Errors,60964952
2020-04,Errors,61053844
2020-04,API Usage,61370583
2020-04,Errors,61373250
2020-04,API Usage,61118800
2020-04,Discrepancy,61165583
2020-04,Conceptual,60983827
2020-04,Errors,61257919
2020-04,Errors,60990429
2020-04,API Usage,61102223
2020-04,API Usage,61353470
2020-04,API Usage,61176443
2020-04,Discrepancy,61492874
2020-04,Discrepancy,61373456
2020-04,Discrepancy,61070172
2020-04,Errors,61301007
2020-04,API Usage,61268961
2020-04,Errors,61436720
2020-04,Conceptual,61343070
2020-04,API Usage,61192571
2020-04,API Usage,61153799
2020-04,API Usage,61142156
2020-04,Architectural Consensus,61307180
2020-04,Discrepancy,61061041
2020-04,Discrepancy,61370188
2020-04,Conceptual,61020385
2020-04,API Usage,61361021
2020-04,API Usage,61293048
2020-04,API Usage,61442218
2020-04,Errors,61096219
2020-04,API Usage,61186570
2020-04,API Usage,61270747
2020-04,Errors,61070666
2020-04,API Usage,61029875
2020-04,Discrepancy,61280490
2020-04,Discrepancy,60965028
2020-04,API Usage,61512114
2020-04,Errors,61282325
2020-04,Errors,61234587
2020-04,Errors,61011542
2020-04,Discrepancy,61079071
2020-04,API Usage,61355419
2020-04,API Usage,61201518
2020-04,Discrepancy,61177708
2020-04,Learning,61059747
2020-04,API Usage,61362113
2020-04,Discrepancy,61343528
2020-04,API Usage,61077843
2020-04,Errors,61022909
2020-04,API Usage,61180506
2020-04,Discrepancy,60994956
2020-04,Conceptual,61084524
2020-04,API Usage,61461299
2020-04,API Usage,61528765
2020-04,API Usage,61365692
2020-04,API Usage,61531932
2020-04,API Usage,61008213
2020-04,Discrepancy,61484007
2020-04,Errors,60970391
2020-04,Errors,61042316
2020-04,Discrepancy,61002350
2020-04,Discrepancy,61344207
2020-04,Discrepancy,61009865
2020-04,API Usage,61400106
2020-04,Errors,61352009
2020-04,Errors,61157624
2020-04,Conceptual,61383095
2020-04,Learning,61310884
2020-04,API Usage,61464166
2020-04,API Usage,61481586
2020-04,Conceptual,61304315
2020-04,Discrepancy,61068269
2020-04,API Usage,61069726
2020-04,Errors,61403100
2020-04,Architectural Consensus,61331338
2020-04,Errors,61452037
2020-04,Conceptual,61532749
2020-04,Discrepancy,61466757
2020-04,Errors,61138255
2020-04,API Usage,61469735
2020-04,API Usage,61415856
2020-04,API Usage,61284338
2020-04,API Usage,61371962
2020-04,Errors,61200395
2020-04,API Usage,61411162
2020-04,Discrepancy,61252306
2020-04,API Usage,60992182
2020-04,Errors,60962787
2020-04,API Usage,61487545
2020-04,Errors,61510348
2020-04,API Usage,61385888
2020-04,API Usage,61014297
2020-04,Discrepancy,61405629
2020-04,Architectural Consensus,61494411
2020-04,Errors,61286781
2020-04,Discrepancy,61400988
2020-04,API Usage,61320994
2020-04,Conceptual,60996273
2020-04,API Usage,61344440
2020-04,API Usage,61284268
2020-04,API Usage,61187342
2020-04,Discrepancy,61295198
2020-04,API Usage,61145869
2020-04,API Usage,61390932
2020-04,API Usage,61333284
2020-04,API Usage,61060820
2020-04,API Usage,61506331
2020-04,Errors,61131931
2020-04,Discrepancy,61048205
2020-04,API Usage,61091848
2020-04,API Usage,61144807
2020-04,Errors,61441609
2020-04,Learning,61087882
2020-04,Discrepancy,61331332
2020-04,API Usage,61387165
2020-04,Errors,61282757
2020-04,API Usage,61184279
2020-04,Conceptual,61255739
2020-04,API Usage,61077327
2020-04,Errors,61390135
2020-04,API Usage,61400626
2020-04,API Usage,61435172
2020-04,Conceptual,61220241
2020-04,Errors,61409773
2020-04,Discrepancy,61210610
2020-04,API Usage,61086050
2020-04,API Usage,61482031
2020-04,API Change,60995986
2020-04,Errors,61418000
2020-04,Discrepancy,61040963
2020-04,API Usage,61529016
2020-04,Errors,61342872
2020-04,Discrepancy,61358993
2020-04,API Usage,61486231
2020-04,Errors,61494210
2020-04,API Usage,61409682
2020-04,Discrepancy,61095208
2020-04,API Usage,61393603
2020-04,Conceptual,61287591
2020-04,API Usage,61479904
2020-04,Conceptual,61089973
2020-04,Discrepancy,61336001
2020-04,Errors,61237447
2020-04,API Usage,61525578
2020-04,API Usage,61098556
2020-04,Learning,61437068
2020-04,API Usage,61131368
2020-04,API Usage,61503268
2020-04,Errors,61488867
2020-04,API Usage,61120850
2020-04,Discrepancy,61407307
2020-04,API Usage,61520442
2020-04,Discrepancy,61192935
2020-04,Learning,61530923
2020-04,Discrepancy,60998324
2020-04,Conceptual,61053746
2020-04,Discrepancy,61160644
2020-04,Discrepancy,61018023
2020-04,API Usage,61065766
2020-04,Errors,61069978
2020-04,API Usage,61439895
2020-04,API Usage,61365380
2020-04,Errors,61142667
2020-04,API Usage,61410526
2020-04,Errors,61302341
2020-04,API Usage,61236627
2020-04,API Usage,61291862
2020-04,API Usage,61463624
2020-04,API Usage,61198803
2020-04,Conceptual,61123848
2020-04,API Usage,61357266
2020-04,API Usage,61077289
2020-04,Discrepancy,61353502
2020-04,Errors,61439418
2020-04,API Usage,61343467
2020-04,Errors,61389620
2020-04,Errors,61479193
2020-04,Errors,61111132
2020-04,Errors,61219694
2020-04,Conceptual,61255490
2020-04,Errors,61460998
2020-04,Architectural Consensus,61347610
2020-04,Discrepancy,61100177
2020-04,Discrepancy,61055603
2020-04,Learning,61097843
2020-04,API Usage,61019171
2020-04,Discrepancy,61089657
2020-04,Errors,61301061
2020-04,API Usage,61064199
2020-04,API Usage,61452561
2020-04,Discrepancy,61344690
2020-04,Architectural Consensus,61401938
2020-04,Conceptual,61327742
2020-04,Learning,61217332
2020-04,API Usage,61477278
2020-04,API Usage,61461242
2020-04,Errors,61214945
2020-04,API Usage,60989703
2020-04,Errors,61098627
2020-04,API Usage,61368247
2020-04,Errors,61326091
2020-04,Discrepancy,61483892
2020-04,API Usage,61388774
2020-04,Learning,61024861
2020-04,Discrepancy,60981524
2020-04,Discrepancy,61311611
2020-04,API Usage,61000973
2020-04,Errors,61319177
2020-04,API Usage,61080618
2020-04,API Usage,61304606
2020-04,Discrepancy,61084952
2020-04,API Usage,61406760
2020-04,Architectural Consensus,61372944
2020-04,Errors,61525119
2020-04,API Usage,61274890
2020-04,Architectural Consensus,61038694
2020-04,Discrepancy,61387424
2020-04,Discrepancy,61008453
2020-04,Conceptual,61073059
2020-04,API Usage,61051580
2020-04,Errors,61502619
2020-04,API Usage,61100701
2020-04,Errors,61227346
2020-04,Errors,61035662
2020-04,API Usage,61094900
2020-04,API Usage,61338022
2020-04,API Usage,61143268
2020-04,API Usage,61097797
2020-04,Discrepancy,61063717
2020-04,Discrepancy,61003760
2020-04,Conceptual,61082505
2020-04,Errors,61295037
2020-04,Errors,61348885
2020-04,Learning,61473902
2020-04,API Usage,61462605
2020-04,Errors,61045892
2020-04,API Usage,61477208
2020-04,API Usage,61282513
2020-04,API Change,61349158
2020-04,Discrepancy,61289805
2020-04,Errors,61171050
2020-04,Conceptual,61365701
2020-04,Architectural Consensus,61028140
2020-04,API Usage,61373109
2020-04,API Usage,61159939
2020-04,API Usage,61284790
2020-04,Errors,61504091
2020-04,API Usage,61147136
2020-04,Errors,61498148
2020-04,Errors,61181998
2020-04,API Usage,61228656
2020-04,Errors,61483347
2020-04,Discrepancy,61131066
2020-04,API Usage,61098305
2020-04,API Change,61062791
2020-04,API Usage,61253015
2020-04,Learning,61191147
2020-04,API Usage,61430052
2020-04,API Usage,61335983
2020-04,Errors,61363404
2020-04,Errors,61526741
2020-04,API Usage,61281450
2020-04,Discrepancy,61199305
2020-04,API Usage,61233839
2020-04,Errors,60999786
2020-04,Discrepancy,61022316
2020-04,API Usage,61315224
2020-04,Discrepancy,61457506
2020-04,Review,61063486
2020-04,Discrepancy,61444403
2020-04,Errors,61190962
2020-04,Errors,61400517
2020-04,API Usage,61227003
2020-04,API Usage,61456411
2020-04,API Usage,61151877
2020-04,API Usage,61448151
2020-04,API Usage,60984690
2020-04,API Usage,61490054
2020-04,Learning,61282963
2020-04,API Usage,61059170
2020-04,Errors,61423265
2020-04,Errors,61313075
2020-04,Discrepancy,61070237
2020-04,Errors,61199500
2020-04,Conceptual,61466422
2020-04,Discrepancy,61045108
2020-04,Discrepancy,60980494
2020-04,Errors,61201125
2020-04,Conceptual,61503036
2020-04,Errors,61039668
2020-04,Discrepancy,61453215
2020-04,Errors,61118907
2020-04,Errors,61346381
2020-04,Errors,61402355
2020-04,Errors,61171393
2020-04,API Usage,60966594
2020-04,Discrepancy,61138008
2020-04,API Usage,61229190
2020-04,Errors,61131593
2020-04,Errors,61514048
2020-04,Discrepancy,61222392
2020-04,Discrepancy,61081778
2020-04,API Usage,60963224
2020-04,Conceptual,61454646
2020-04,Errors,61109147
2020-04,Discrepancy,61495219
2020-04,Errors,61344317
2020-04,API Usage,61138058
2020-04,Learning,61303187
2020-04,API Usage,60994597
2020-04,Discrepancy,61445862
2020-04,Errors,61457076
2020-04,Discrepancy,61269679
2020-04,API Usage,61364870
2020-04,API Change,61079574
2020-04,API Usage,61126311
2020-04,API Usage,60970903
2020-04,API Usage,61240698
2020-04,Learning,61364966
2020-04,Errors,61111105
2020-04,Errors,61096017
2020-04,Errors,61453974
2020-04,API Usage,61444908
2020-04,Errors,61319353
2020-04,API Usage,61041512
2020-04,Discrepancy,61509744
2020-04,Architectural Consensus,61139459
2020-04,Architectural Consensus,61162801
2020-04,Discrepancy,61411179
2020-04,API Usage,61318772
2020-04,API Usage,61466865
2020-04,Errors,61177160
2020-04,Architectural Consensus,60961777
2020-04,Discrepancy,61339668
2020-04,API Usage,61223874
2020-04,Conceptual,61088757
2020-04,Architectural Consensus,61126183
2020-04,Errors,61299279
2020-04,API Change,61329877
2020-04,API Usage,60994780
2020-04,API Usage,61312675
2020-04,API Usage,61356953
2020-04,Errors,61199941
2020-04,API Usage,61432526
2020-04,Errors,61489121
2020-04,Errors,61177996
2020-04,Errors,60976256
2020-04,Conceptual,61313580
2020-04,Discrepancy,61089389
2020-04,API Usage,61028373
2020-04,Errors,61252207
2020-04,Errors,61377003
2020-04,API Usage,61419057
2020-04,Discrepancy,61410354
2020-04,Errors,61272604
2020-04,Errors,61457795
2020-04,API Usage,61024803
2020-04,API Usage,61108084
2020-04,API Change,61158187
2020-04,API Usage,61163356
2020-04,API Usage,61382028
2020-04,Discrepancy,61017760
2020-04,API Usage,61177209
2020-04,Conceptual,61009507
2020-04,API Usage,61270177
2020-04,Discrepancy,61033001
2020-04,Conceptual,61261068
2020-04,Conceptual,61047611
2020-04,API Usage,61166750
2020-04,Discrepancy,61325155
2020-04,API Usage,61026366
2020-04,API Usage,61231996
2020-04,Discrepancy,61107603
2020-04,API Usage,61442675
2020-04,API Usage,61184102
2020-04,API Usage,61204258
2020-04,Conceptual,61244543
2020-04,API Usage,61011118
2020-04,API Usage,61045819
2020-04,Errors,61306051
2020-04,API Usage,61261539
2020-04,Discrepancy,61383213
2020-04,Conceptual,61266377
2020-04,API Usage,61183335
2020-04,API Usage,61161618
2020-04,Discrepancy,61402597
2020-04,API Usage,61178425
2020-04,API Usage,61449001
2020-04,Errors,61132119
2020-04,Conceptual,61124576
2020-04,API Usage,61333724
2020-04,Errors,61388274
2020-04,Discrepancy,61091965
2020-04,API Usage,61421976
2020-04,API Usage,61476472
2020-04,Conceptual,61519192
2020-04,Discrepancy,61514247
2020-04,API Usage,61242650
2020-04,Errors,61291805
2020-04,Errors,61295835
2020-04,Discrepancy,61412363
2020-04,API Usage,61077526
2020-04,Discrepancy,61065510
2020-04,Architectural Consensus,61102147
2020-04,API Usage,61419365
2020-04,API Usage,61476150
2020-04,API Usage,61194782
2020-04,API Usage,61271968
2020-04,API Usage,61123391
2020-04,Errors,61516435
2020-04,API Usage,61245053
2020-04,Errors,61285372
2020-04,Conceptual,61245422
2020-04,API Usage,61371025
2020-04,API Usage,61403243
2020-04,API Usage,61009891
2020-04,API Usage,61201375
2020-04,API Usage,61432971
2020-04,Errors,61058529
2020-04,Errors,61272032
2020-04,API Usage,61384062
2020-04,API Change,61354780
2020-04,API Usage,61068411
2020-04,Architectural Consensus,61205703
2020-04,Errors,61355597
2020-04,API Change,61333640
2020-04,Errors,61173308
2020-04,API Usage,61007342
