period,intent,count,fraction
post,API Change,4231,0.023042026783428912
post,API Usage,67953,0.37007205058244974
post,Architectural Consensus,6469,0.03523017519782596
post,Conceptual,12556,0.06837997832491927
post,Discrepancy,32314,0.1759820499833897
post,Errors,51738,0.28176515758001536
post,Learning,3355,0.01827133062122524
post,Machine-Authored Discrepancy,2761,0.015036406511237822
post,Review,2244,0.01222082441550803
pre,API Change,2415,0.015157791669804925
pre,API Usage,71892,0.45123145288845373
pre,Architectural Consensus,4223,0.026505736737716855
pre,Conceptual,11117,0.06977605382742086
pre,Discrepancy,25088,0.15746529085385755
pre,Errors,38242,0.24002661243754864
pre,Learning,4527,0.02841379829780824
pre,Machine-Authored Discrepancy,239,0.0015000878712560569
pre,Review,1581,0.009923175416133162
