year_month,accepted_count,median_seconds,p90_seconds
2020-01,66937,3217.356,264237.35780000006
2020-02,65586,3282.2395,259604.655
2020-03,70017,3296.237,247477.6938000001
2020-04,83542,3099.5865000000003,239447.01130000013
2020-05,85436,3079.697,223880.207
2020-06,77394,3165.1565,230941.63009999995
2020-07,75641,3202.223,244740.347
2020-08,67892,3252.718,238864.1946000001
2020-09,64304,3318.9105,237592.6552000001
2020-10,65299,3206.337,240783.93500000032
2020-11,62032,3257.752,232568.36830000012
2020-12,60588,3233.1235,243184.9183
2021-01,63290,3379.2365,237589.56929999994
2021-02,59326,3518.475,247873.75799999997
2021-03,65764,3601.91,244466.45200000005
2021-04,59516,3474.1745,240380.325
2021-05,58538,3314.5085,234129.01810000007
2021-06,55725,3336.67,242082.29399999997
2021-07,53792,3419.4714999999997,248430.99290000004
2021-08,53128,3515.0035,249131.87590000016
2021-09,51267,3463.797,252965.68720000004
2021-10,51226,3540.0615,260470.905
2021-11,50440,3768.688,263489.9909999998
2021-12,46978,3883.312,292156.3437000007
2022-01,50554,3950.263,256474.14420000013
2022-02,46885,3860.886,275014.83739999996
2022-03,49778,4129.985,294968.10110000055
2022-04,46139,3965.013,276974.79100000043
2022-05,46059,4007.556,281891.6144000009
2022-06,44475,4159.843,295326.15339999984
2022-07,44943,4029.983,267502.85000000003
2022-08,45972,4012.422,256802.04670000006
2022-09,42357,4107.846,282739.8540000007
2022-10,42858,3970.8485,268310.75100000034
2022-11,43077,4125.41,276051.47080000007
2022-12,37859,4886.197,321316.22360000043
2023-01,38020,4927.315500000001,264708.55669999984
2023-02,32889,5286.85,285869.45120000053
2023-03,33011,5603.594,331896.19
2023-04,25182,6839.791499999999,363902.3703000001
2023-05,24344,7197.945,361572.00520000013
2023-06,22649,7717.16,430003.06100000005
2023-07,22536,7468.5,370866.5295
2023-08,21685,7643.037,394025.3834000007
2023-09,19053,8583.386,426867.4829999999
2023-10,19015,8640.233,397428.28960000083
2023-11,17913,8863.926,369110.9776000008
2023-12,14865,9363.514,433675.0648000001
2024-01,17088,8850.964499999998,371842.965
2024-02,16048,9081.270499999999,392177.8267000001
2024-03,15686,10044.2835,368879.29799999995
2024-04,14629,9676.164,370719.5096000004
2024-05,13571,10303.33,424302.194
2024-06,10910,11799.052,433871.39410000015
2024-07,11126,11925.338,439143.5815
2024-08,9888,11262.064999999999,418643.9700000013
2024-09,8747,12800.957,430799.3472000003
2024-10,8274,12498.0065,438780.5899999998
2024-11,7323,13864.466,417891.94080000004
2024-12,6138,14365.0835,511808.2448000002
2025-01,6389,13393.233,426754.9279999998
2025-02,5491,12694.15,420824.793
2025-03,5373,14855.07,419455.4236000001
2025-04,4063,13067.11,366479.09340000007
2025-05,3485,13151.967,430748.9936
2025-06,2793,13644.52,430508.61319999996
2025-07,2535,12164.956,427856.95879999996
2025-08,1940,13170.0785,410488.79190000007
2025-09,1767,14704.787,423866.37180000014
2025-10,1639,15257.97,449860.0884
2025-11,1293,13570.53,375177.3684
2025-12,1035,17174.773,447536.07360000006
2026-01,947,14640.16,386607.01079999964
2026-02,736,14108.335,307474.81299999997
2026-03,577,12730.37,249491.91279999996
