year_month,answered_count,median_seconds,p90_seconds
2020-01,121102,3217.9665,404733.8180000009
2020-02,119488,3244.2,416476.8413000003
2020-03,127286,3436.9235,460222.9865
2020-04,149981,3291.82,437746.72
2020-05,153226,3166.2505,402904.6865
2020-06,140826,3210.6985,412447.949
2020-07,136679,3261.057,415759.50399999996
2020-08,122551,3308.867,405795.85
2020-09,116530,3475.21,432027.3087000003
2020-10,116963,3314.86,410229.7192000001
2020-11,110727,3343.993,411848.33060000115
2020-12,109830,3410.8485,430583.723700001
2021-01,114742,3467.9584999999997,408412.77410000033
2021-02,107513,3683.693,431967.4094
2021-03,120318,3790.135,480126.3549000001
2021-04,109797,3676.65,428179.7048000001
2021-05,108533,3643.183,432340.4036
2021-06,104318,3587.7380000000003,469190.6597000002
2021-07,99882,3690.1279999999997,489426.2713000001
2021-08,98985,3807.28,498202.44820000045
2021-09,96650,3708.358,465210.46330000093
2021-10,96207,3760.153,463461.37660000246
2021-11,95068,4032.17,521300.59500000003
2021-12,89733,4157.743,591140.0334000001
2022-01,95622,4197.291499999999,593962.3254000021
2022-02,90920,4228.993,659117.0807000011
2022-03,97681,4719.413,737326.57
2022-04,90742,4390.98,666380.5857000008
2022-05,91823,4376.534,615488.8488
2022-06,88158,4615.528,601402.0029000001
2022-07,88196,4386.855,509802.88800000004
2022-08,89967,4276.127,512110.11620000005
2022-09,83232,4453.752,480528.1667000001
2022-10,84245,4212.07,459126.31740000105
2022-11,86442,4550.478,499954.5486000003
2022-12,76258,5092.835,549998.6229000015
2023-01,76092,5304.9045,495044.0123
2023-02,66944,5951.379999999999,542677.4892000044
2023-03,67570,6497.549999999999,674952.2589999995
2023-04,52517,7681.373,785037.5942000009
2023-05,50498,8349.8685,765884.2579000001
2023-06,47800,9141.4015,942549.2612999997
2023-07,47322,8297.17,795633.4060000002
2023-08,45249,8851.47,873020.2770000042
2023-09,39716,9462.4565,791854.0819999999
2023-10,39998,9773.9015,751615.5189000075
2023-11,37555,10145.664,741310.2507999969
2023-12,31649,10892.287,867259.5686000002
2024-01,35763,10428.997,680156.0385999999
2024-02,34167,10783.803,771940.5162000001
2024-03,33499,11169.744,688632.2490000003
2024-04,31306,11554.8945,715110.0015
2024-05,29519,12021.267,813840.5922000001
2024-06,23410,13273.4815,832155.8784000004
2024-07,23759,13226.573,742291.2720000002
2024-08,21249,12512.633,638811.1660000001
2024-09,18590,14037.4485,703356.1930000017
2024-10,17670,14253.201000000001,692454.3443000002
2024-11,15610,14377.7435,623574.8777000001
2024-12,13216,15974.611499999999,875580.1910000001
2025-01,13682,15596.367,674501.749
2025-02,11836,15004.9905,672481.2435
2025-03,11571,17013.087,717432.904
2025-04,8750,14756.156500000001,672093.083700001
2025-05,7474,15094.2985,632758.6509999998
2025-06,6031,15623.91,756930.536
2025-07,5189,12893.717,631188.2887999984
2025-08,3874,13738.775000000001,536723.5042000016
2025-09,3806,15187.5985,765265.1769999999
2025-10,3409,15300.696,629769.6336000013
2025-11,2821,14724.284,644903.16
2025-12,2253,16618.174,695044.8404
2026-01,1952,14034.394,506102.9254000012
2026-02,1538,12693.785,426638.36989999993
2026-03,1211,11374.324,251010.304
